,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"omega[0, 238]",0.18,0.088,0.066,0.34,1425,759,1.00,0.0023,0.0022
"omega[0, 239]",0.128,0.067,0.041,0.24,1111,638,1.00,0.0021,0.0024
"omega[0, 240]",0.23,0.2,0.025,0.62,1115,779,1.00,0.0065,0.005
"omega[0, 241]",0.118,0.055,0.045,0.22,1464,648,1.01,0.0014,0.0014
"omega[0, 242]",0.153,0.063,0.057,0.26,1813,496,1.01,0.0014,0.00095
"omega[0, 243]",0.7,0.22,0.25,0.95,1027,677,1.00,0.0078,0.0057
"omega[1, 0]",0.084,0.042,0.028,0.16,1432,643,1.00,0.001,0.00089
"omega[1, 1]",0.194,0.14,0.037,0.47,1200,857,1.00,0.0049,0.005
"omega[1, 2]",0.067,0.05,0.014,0.15,1414,717,1.00,0.0013,0.0025
"omega[1, 3]",0.36,0.221,0.054,0.74,1369,934,1.00,0.0061,0.0034
"omega[1, 4]",0.161,0.106,0.043,0.37,1313,809,1.00,0.0032,0.0031
"omega[1, 5]",0.225,0.118,0.079,0.45,1233,689,1.00,0.0033,0.003
"omega[1, 6]",0.075,0.056,0.015,0.17,1133,767,1.00,0.0017,0.0025
"omega[1, 7]",0.17,0.2,0.01,0.6,702,678,1.00,0.0087,0.0076
"omega[1, 8]",0.111,0.072,0.029,0.24,1246,881,1.00,0.0022,0.0028
"omega[1, 9]",0.401,0.167,0.14,0.67,1327,782,1.00,0.0046,0.0029
"omega[1, 10]",0.1,0.13,0.015,0.34,980,542,1.01,0.0061,0.013
"omega[1, 11]",0.125,0.074,0.035,0.26,1090,687,1.00,0.0021,0.0021
"omega[1, 12]",0.085,0.037,0.032,0.15,1343,693,1.00,0.00095,0.00072
"omega[1, 13]",0.073,0.037,0.024,0.14,1494,545,1.00,0.00087,0.00077
"omega[1, 14]",0.08,0.052,0.019,0.17,1552,794,1.00,0.0014,0.0025
"omega[1, 15]",0.08,0.062,0.017,0.18,1133,652,1.00,0.0019,0.0038
"omega[1, 16]",0.36,0.218,0.062,0.76,1282,836,1.01,0.0066,0.0039
"omega[1, 17]",0.154,0.079,0.051,0.29,1381,670,1.00,0.002,0.0019
"omega[1, 18]",0.063,0.035,0.015,0.12,1226,495,1.00,0.00087,0.00077
"omega[1, 19]",0.855,0.093,0.69,0.97,1936,571,1.01,0.0023,0.0029
"omega[1, 20]",0.223,0.068,0.13,0.34,1530,557,1.00,0.0017,0.0013
"omega[1, 21]",0.102,0.075,0.016,0.25,1068,758,1.00,0.0022,0.0022
"omega[1, 22]",0.368,0.119,0.17,0.55,1117,715,1.00,0.0036,0.0023
"omega[1, 23]",0.141,0.055,0.057,0.24,1849,608,1.00,0.0012,0.0008
"omega[1, 24]",0.17,0.145,0.016,0.44,802,696,1.00,0.0051,0.0036
"omega[1, 25]",0.27,0.173,0.05,0.59,1061,895,1.00,0.0053,0.0034
"omega[1, 26]",0.191,0.11,0.056,0.38,1468,805,1.01,0.0029,0.0032
"omega[1, 27]",0.101,0.068,0.021,0.22,1071,800,1.00,0.0021,0.0024
"omega[1, 28]",0.088,0.053,0.021,0.18,1275,723,1.00,0.0014,0.0012
"omega[1, 29]",0.275,0.125,0.093,0.49,1330,636,1.00,0.0034,0.0023
"omega[1, 30]",0.271,0.154,0.085,0.58,1342,828,1.00,0.0044,0.0036
"omega[1, 31]",0.244,0.144,0.059,0.51,1252,627,1.00,0.0041,0.0029
"omega[1, 32]",0.341,0.143,0.14,0.59,1555,889,1.00,0.0037,0.0026
"omega[1, 33]",0.387,0.15,0.18,0.66,1365,722,1.00,0.0041,0.0028
"omega[1, 34]",0.179,0.07,0.087,0.3,1302,725,1.00,0.002,0.0021
"omega[1, 35]",0.064,0.044,0.013,0.15,1231,828,1.01,0.0012,0.0014
"omega[1, 36]",0.144,0.087,0.038,0.3,1560,770,1.00,0.0023,0.0023
"omega[1, 37]",0.227,0.129,0.059,0.47,942,754,1.00,0.0042,0.0029
"omega[1, 38]",0.41,0.214,0.1,0.77,1353,697,1.00,0.0057,0.0031
"omega[1, 39]",0.28,0.172,0.051,0.59,958,827,1.00,0.0054,0.0035
"omega[1, 40]",0.521,0.192,0.2,0.82,1504,793,1.00,0.0049,0.003
"omega[1, 41]",0.32,0.22,0.051,0.73,980,784,1.00,0.0073,0.0044
"omega[1, 42]",0.088,0.08,0.018,0.21,1514,792,1.00,0.0024,0.0058
"omega[1, 43]",0.112,0.086,0.028,0.27,839,721,1.00,0.0031,0.0045
"omega[1, 44]",0.0373,0.0225,0.008,0.076,1895,666,1.00,0.00048,0.00046
"omega[1, 45]",0.11,0.058,0.032,0.21,1241,556,1.00,0.0016,0.0013
"omega[1, 46]",0.096,0.052,0.025,0.18,1578,456,1.00,0.0012,0.0012
"omega[1, 47]",0.32,0.221,0.045,0.72,1113,718,1.00,0.0069,0.0046
"omega[1, 48]",0.199,0.121,0.042,0.41,1200,771,1.00,0.0035,0.0027
"omega[1, 49]",0.1,0.13,0.011,0.4,575,276,1.01,0.0073,0.011
"omega[1, 50]",0.064,0.031,0.021,0.12,1118,616,1.00,0.00085,0.00064
"omega[1, 51]",0.125,0.091,0.023,0.3,1160,759,1.00,0.0028,0.0026
"omega[1, 52]",0.147,0.055,0.066,0.24,1198,547,1.00,0.0015,0.0012
"omega[1, 53]",0.107,0.05,0.033,0.19,2151,469,1.01,0.001,0.00077
"omega[1, 54]",0.278,0.126,0.1,0.49,1587,695,1.00,0.0031,0.0024
"omega[1, 55]",0.311,0.133,0.11,0.54,1462,645,1.01,0.0032,0.0023
"omega[1, 56]",0.594,0.107,0.42,0.76,2622,689,1.00,0.0021,0.0014
"omega[1, 57]",0.071,0.039,0.018,0.14,1383,640,1.00,0.001,0.00082
"omega[1, 58]",0.25,0.075,0.13,0.37,2188,661,1.00,0.0016,0.0011
"omega[1, 59]",0.0317,0.0211,0.0057,0.07,1956,710,1.00,0.00045,0.0004
"omega[1, 60]",0.039,0.0252,0.0084,0.087,1668,752,1.00,0.00052,0.00046
"omega[1, 61]",0.101,0.081,0.017,0.24,1131,659,1.00,0.0026,0.0038
"omega[1, 62]",0.25,0.188,0.041,0.62,965,834,1.00,0.0059,0.0046
"omega[1, 63]",0.335,0.146,0.15,0.62,1054,697,1.00,0.0048,0.0035
"omega[1, 64]",0.103,0.055,0.03,0.21,1193,614,1.00,0.0015,0.0016
"omega[1, 65]",0.056,0.034,0.013,0.12,1065,633,1.00,0.00095,0.00083
"omega[1, 66]",0.096,0.1,0.019,0.25,1076,621,1.00,0.0037,0.0082
"omega[1, 67]",0.287,0.066,0.19,0.4,1805,845,1.00,0.0015,0.0011
"omega[1, 68]",0.741,0.117,0.53,0.9,2095,665,1.00,0.0026,0.002
"omega[1, 69]",0.267,0.116,0.11,0.46,1301,628,1.00,0.0032,0.0031
"omega[1, 70]",0.602,0.198,0.26,0.89,2302,709,1.00,0.0042,0.0026
"omega[1, 71]",0.16,0.14,0.027,0.45,1017,664,1.00,0.0047,0.0058
"omega[1, 72]",0.33,0.218,0.053,0.73,1302,800,1.00,0.0061,0.0038
"omega[1, 73]",0.835,0.114,0.64,0.97,1662,701,1.00,0.0031,0.004
"omega[1, 74]",0.34,0.22,0.047,0.75,1294,848,1.00,0.0063,0.004
"omega[1, 75]",0.131,0.108,0.026,0.34,1173,781,1.00,0.0037,0.0048
"omega[1, 76]",0.255,0.088,0.13,0.41,1544,795,1.00,0.0022,0.0017
"omega[1, 77]",0.211,0.082,0.095,0.36,1776,655,1.01,0.0019,0.0014
"omega[1, 78]",0.094,0.07,0.021,0.22,1041,622,1.00,0.0022,0.0035
"omega[1, 79]",0.218,0.077,0.12,0.36,1276,652,1.00,0.0021,0.0018
"omega[1, 80]",0.15,0.07,0.051,0.27,1530,591,1.01,0.0017,0.0013
"omega[1, 81]",0.3,0.2,0.081,0.71,572,542,1.00,0.01,0.0067
"omega[1, 82]",0.088,0.051,0.025,0.17,1717,882,1.00,0.0013,0.0015
"omega[1, 83]",0.084,0.053,0.018,0.18,959,546,1.00,0.0016,0.0013
"omega[1, 84]",0.188,0.144,0.025,0.46,1126,931,1.00,0.0041,0.0028
"omega[1, 85]",0.09,0.052,0.025,0.18,1465,658,1.00,0.0013,0.0016
"omega[1, 86]",0.3,0.18,0.065,0.64,853,579,1.01,0.0064,0.0051
"omega[1, 87]",0.072,0.043,0.017,0.15,1310,501,1.01,0.001,0.001
"omega[1, 88]",0.5,0.19,0.15,0.8,793,316,1.01,0.0073,0.005
"omega[1, 89]",0.078,0.043,0.022,0.16,1612,651,1.01,0.001,0.00096
"omega[1, 90]",0.097,0.06,0.025,0.21,1236,714,1.00,0.0016,0.0017
"omega[1, 91]",0.094,0.051,0.026,0.18,1213,648,1.01,0.0013,0.0013
"omega[1, 92]",0.31,0.17,0.12,0.68,1079,643,1.00,0.0063,0.0058
"omega[1, 93]",0.077,0.033,0.028,0.13,1379,676,1.00,0.00086,0.00056
"omega[1, 94]",0.118,0.096,0.021,0.31,1080,585,1.01,0.0031,0.0041
"omega[1, 95]",0.044,0.029,0.0091,0.094,1120,660,1.00,0.00083,0.00085
"omega[1, 96]",0.734,0.169,0.41,0.94,1654,635,1.00,0.0042,0.0037
"omega[1, 97]",0.436,0.146,0.2,0.69,1742,792,1.01,0.0035,0.0023
"omega[1, 98]",0.062,0.047,0.012,0.14,1086,573,1.00,0.0014,0.003
"omega[1, 99]",0.466,0.178,0.2,0.76,1633,642,1.00,0.0043,0.0027
"omega[1, 100]",0.196,0.152,0.027,0.49,1112,791,1.00,0.0045,0.0038
"omega[1, 101]",0.13,0.107,0.024,0.34,1239,808,1.00,0.0033,0.0044
"omega[1, 102]",0.802,0.145,0.53,0.97,1695,796,1.00,0.004,0.0041
"omega[1, 103]",0.034,0.034,0.005,0.081,1132,662,1.00,0.0011,0.0036
"omega[1, 104]",0.458,0.089,0.31,0.61,2838,725,1.00,0.0017,0.0012
"omega[1, 105]",0.135,0.077,0.038,0.27,1448,860,1.00,0.0021,0.0018
"omega[1, 106]",0.113,0.075,0.028,0.24,1337,857,1.00,0.0022,0.0029
"omega[1, 107]",0.753,0.12,0.54,0.92,1812,845,1.00,0.0028,0.002
"omega[1, 108]",0.107,0.09,0.024,0.27,1083,685,1.00,0.0035,0.0067
"omega[1, 109]",0.777,0.119,0.56,0.94,1693,712,1.00,0.0029,0.0023
"omega[1, 110]",0.151,0.087,0.041,0.31,1324,861,1.00,0.0023,0.0019
"omega[1, 111]",0.657,0.098,0.49,0.8,3000,521,1.00,0.0018,0.0014
"omega[1, 112]",0.51,0.175,0.18,0.76,1226,746,1.00,0.0051,0.0035
"omega[1, 113]",0.156,0.14,0.031,0.44,965,785,1.00,0.0045,0.0056
"omega[1, 114]",0.072,0.08,0.0099,0.2,1116,821,1.00,0.0026,0.0076
"omega[1, 115]",0.166,0.075,0.067,0.3,1296,645,1.00,0.002,0.0019
"omega[1, 116]",0.108,0.067,0.028,0.23,1590,759,1.00,0.0017,0.0021
"omega[1, 117]",0.362,0.161,0.11,0.63,1205,701,1.00,0.0045,0.0029
"omega[1, 118]",0.253,0.06,0.16,0.35,1836,686,1.00,0.0013,0.00094
"omega[1, 119]",0.699,0.087,0.56,0.83,2594,724,1.01,0.0018,0.0014
"omega[1, 120]",0.046,0.028,0.012,0.098,1352,653,1.00,0.00074,0.00065
"omega[1, 121]",0.156,0.107,0.029,0.37,1152,867,1.00,0.0032,0.0025
"omega[1, 122]",0.418,0.073,0.3,0.53,2705,726,1.01,0.0014,0.001
"omega[1, 123]",0.161,0.079,0.063,0.3,1640,852,1.00,0.002,0.0027
"omega[1, 124]",0.031,0.022,0.0056,0.068,1242,701,1.00,0.00062,0.00079
"omega[1, 125]",0.074,0.039,0.022,0.14,1495,590,1.00,0.001,0.00096
"omega[1, 126]",0.291,0.161,0.075,0.58,1191,846,1.00,0.0046,0.003
"omega[1, 127]",0.065,0.038,0.017,0.13,1597,651,1.00,0.00087,0.0008
"omega[1, 128]",0.094,0.06,0.022,0.2,1478,549,1.01,0.0017,0.0022
"omega[1, 129]",0.52,0.197,0.18,0.82,888,493,1.01,0.0065,0.004
"omega[1, 130]",0.447,0.215,0.099,0.8,1985,728,1.01,0.0048,0.0026
"omega[1, 131]",0.255,0.136,0.064,0.49,1761,812,1.00,0.0032,0.0022
"omega[1, 132]",0.387,0.071,0.28,0.5,2049,714,1.00,0.0016,0.0012
"omega[1, 133]",0.25,0.102,0.1,0.43,1356,754,1.00,0.0027,0.002
"omega[1, 134]",0.354,0.131,0.17,0.59,1536,820,1.01,0.0035,0.0028
"omega[1, 135]",0.061,0.035,0.016,0.12,1241,676,1.00,0.00088,0.0008
"omega[1, 136]",0.366,0.111,0.22,0.56,1280,735,1.00,0.0032,0.0028
"omega[1, 137]",0.351,0.137,0.15,0.59,1571,841,1.00,0.0035,0.0022
"omega[1, 138]",0.245,0.07,0.15,0.37,2008,892,1.01,0.0018,0.0019
"omega[1, 139]",0.048,0.0243,0.015,0.093,1651,690,1.00,0.00059,0.00045
"omega[1, 140]",0.422,0.126,0.23,0.63,2212,659,1.00,0.0027,0.0017
"omega[1, 141]",0.062,0.044,0.013,0.13,1287,703,1.00,0.0012,0.0018
"omega[1, 142]",0.5,0.227,0.13,0.86,1488,765,1.00,0.0059,0.003
"omega[1, 143]",0.07,0.063,0.012,0.18,1139,562,1.00,0.002,0.0034
"omega[1, 144]",0.292,0.098,0.16,0.45,1502,685,1.00,0.0029,0.0031
"omega[1, 145]",0.162,0.129,0.027,0.41,1089,708,1.00,0.004,0.004
"omega[1, 146]",0.135,0.054,0.058,0.22,1696,639,1.00,0.0013,0.00093
"omega[1, 147]",0.084,0.054,0.02,0.18,1298,592,1.00,0.0015,0.0024
"omega[1, 148]",0.051,0.032,0.012,0.1,1155,690,1.00,0.00094,0.0013
"omega[1, 149]",0.056,0.031,0.015,0.11,1574,635,1.00,0.00071,0.00056
"omega[1, 150]",0.12,0.038,0.064,0.18,1815,769,1.01,0.00083,0.00058
"omega[1, 151]",0.097,0.066,0.02,0.22,1109,841,1.00,0.002,0.0024
"omega[1, 152]",0.106,0.12,0.011,0.37,801,757,1.00,0.0045,0.006
"omega[1, 153]",0.053,0.0271,0.015,0.1,1937,620,1.01,0.00058,0.00044
"omega[1, 154]",0.062,0.038,0.014,0.13,1311,663,1.00,0.00098,0.00091
"omega[1, 155]",0.085,0.046,0.023,0.17,1593,725,1.00,0.0011,0.0012
"omega[1, 156]",0.729,0.179,0.39,0.95,1853,655,1.00,0.0049,0.0041
"omega[1, 157]",0.209,0.103,0.058,0.39,1550,624,1.00,0.0025,0.0018
"omega[1, 158]",0.26,0.166,0.055,0.57,892,837,1.00,0.0054,0.0034
"omega[1, 159]",0.51,0.158,0.27,0.77,1244,726,1.00,0.0044,0.0029
"omega[1, 160]",0.893,0.083,0.73,0.98,1664,576,1.01,0.0021,0.0024
"omega[1, 161]",0.122,0.053,0.043,0.21,1261,600,1.00,0.0014,0.001
"omega[1, 162]",0.145,0.063,0.055,0.26,1117,602,1.00,0.0018,0.0015
"omega[1, 163]",0.258,0.172,0.046,0.58,1192,697,1.00,0.0049,0.0033
"omega[1, 164]",0.081,0.04,0.024,0.16,1900,677,1.00,0.00091,0.00069
"omega[1, 165]",0.034,0.024,0.0061,0.077,1505,582,1.00,0.00053,0.0005
"omega[1, 166]",0.0309,0.022,0.0058,0.073,1791,659,1.00,0.00045,0.00051
"omega[1, 167]",0.039,0.024,0.0086,0.083,1590,462,1.00,0.00056,0.00054
"omega[1, 168]",0.26,0.195,0.051,0.65,1223,932,1.00,0.0058,0.0047
"omega[1, 169]",0.488,0.108,0.31,0.66,1455,684,1.01,0.003,0.0024
"omega[1, 170]",0.064,0.035,0.019,0.13,1577,637,1.01,0.00087,0.00082
"omega[1, 171]",0.144,0.108,0.033,0.34,1007,685,1.00,0.0035,0.0047
"omega[1, 172]",0.123,0.051,0.049,0.21,1473,592,1.00,0.0013,0.0011
"omega[1, 173]",0.158,0.076,0.058,0.29,1468,829,1.00,0.002,0.0017
"omega[1, 174]",0.257,0.083,0.14,0.4,1536,685,1.00,0.0021,0.0022
"omega[1, 175]",0.23,0.19,0.043,0.68,608,334,1.00,0.0099,0.01
"omega[1, 176]",0.351,0.123,0.14,0.54,1518,607,1.00,0.0033,0.0021
"omega[1, 177]",0.297,0.086,0.17,0.44,2090,536,1.00,0.0019,0.0016
"omega[1, 178]",0.26,0.2,0.041,0.66,1064,818,1.00,0.0069,0.005
"omega[1, 179]",0.32,0.217,0.073,0.73,979,761,1.00,0.0075,0.0047
"omega[1, 180]",0.397,0.195,0.12,0.73,1685,729,1.00,0.0047,0.003
"omega[1, 181]",0.091,0.067,0.019,0.2,1335,560,1.00,0.0019,0.003
"omega[1, 182]",0.265,0.077,0.15,0.4,1696,606,1.00,0.0019,0.0014
"omega[1, 183]",0.245,0.134,0.072,0.49,1361,702,1.00,0.004,0.0032
"omega[1, 184]",0.315,0.129,0.13,0.53,1158,756,1.00,0.0038,0.0023
"omega[1, 185]",0.104,0.093,0.017,0.29,1049,715,1.00,0.0029,0.0037
"omega[1, 186]",0.061,0.047,0.011,0.14,1199,653,1.00,0.0013,0.0022
"omega[1, 187]",0.251,0.109,0.11,0.44,1105,711,1.00,0.0033,0.0033
"omega[1, 188]",0.094,0.057,0.024,0.2,1283,643,1.00,0.0014,0.0014
"omega[1, 189]",0.25,0.21,0.042,0.7,951,794,1.00,0.0076,0.0067
"omega[1, 190]",0.054,0.035,0.011,0.11,1298,535,1.01,0.00092,0.0011
"omega[1, 191]",0.04,0.028,0.0086,0.09,1061,568,1.00,0.00078,0.00091
"omega[1, 192]",0.08,0.048,0.02,0.16,1707,742,1.01,0.0012,0.0011
"omega[1, 193]",0.605,0.153,0.35,0.84,1736,536,1.01,0.0037,0.0024
"omega[1, 194]",0.084,0.04,0.027,0.16,1301,534,1.00,0.0011,0.00086
"omega[1, 195]",0.08,0.049,0.021,0.17,1534,947,1.00,0.0012,0.0013
"omega[1, 196]",0.287,0.164,0.072,0.58,1314,944,1.00,0.0045,0.0027
"omega[1, 197]",0.264,0.156,0.071,0.55,1550,844,1.00,0.0041,0.0031
"omega[1, 198]",0.256,0.126,0.084,0.48,1128,781,1.01,0.0037,0.0025
"omega[1, 199]",0.217,0.149,0.035,0.5,1115,724,1.00,0.0042,0.003
"omega[1, 200]",0.38,0.265,0.035,0.84,1088,848,1.00,0.0081,0.004
"omega[1, 201]",0.461,0.161,0.2,0.71,1782,741,1.00,0.0039,0.0024
"omega[1, 202]",0.117,0.072,0.031,0.25,1166,661,1.00,0.002,0.002
"omega[1, 203]",0.155,0.12,0.035,0.37,798,511,1.01,0.0045,0.0062
"omega[1, 204]",0.25,0.176,0.038,0.57,889,728,1.00,0.006,0.0048
"omega[1, 205]",0.177,0.14,0.029,0.46,1149,759,1.00,0.0048,0.0053
"omega[1, 206]",0.072,0.036,0.02,0.13,1461,665,1.00,0.00085,0.00069
"omega[1, 207]",0.16,0.15,0.028,0.46,851,541,1.00,0.0058,0.0074
"omega[1, 208]",0.125,0.12,0.021,0.34,890,610,1.00,0.0043,0.0069
"omega[1, 209]",0.17,0.14,0.039,0.45,1032,765,1.00,0.005,0.0063
"omega[1, 210]",0.155,0.14,0.026,0.43,1038,912,1.00,0.0047,0.0066
"omega[1, 211]",0.533,0.197,0.22,0.85,2005,731,1.00,0.004,0.0023
"omega[1, 212]",0.34,0.214,0.065,0.71,1094,805,1.00,0.0064,0.0037
"omega[1, 213]",0.132,0.116,0.015,0.37,888,709,1.00,0.0037,0.0033
"omega[1, 214]",0.103,0.053,0.032,0.2,1577,569,1.01,0.0012,0.0011
"omega[1, 215]",0.197,0.116,0.042,0.4,1667,865,1.00,0.0028,0.0017
"omega[1, 216]",0.31,0.222,0.031,0.69,836,850,1.00,0.0077,0.004
"omega[1, 217]",0.72,0.2,0.3,0.96,1786,540,1.00,0.0058,0.0051
"omega[1, 218]",0.27,0.184,0.043,0.61,995,804,1.00,0.0058,0.0041
"omega[1, 219]",0.2,0.113,0.05,0.4,1781,574,1.00,0.0026,0.0022
"omega[1, 220]",0.714,0.173,0.39,0.94,3000,612,1.00,0.0037,0.0028
"omega[1, 221]",0.072,0.041,0.019,0.14,1222,689,1.00,0.0011,0.00089
"omega[1, 222]",0.22,0.182,0.026,0.58,862,700,1.00,0.006,0.0043
"omega[1, 223]",0.349,0.098,0.2,0.51,1891,860,1.00,0.0022,0.0015
"omega[1, 224]",0.58,0.255,0.13,0.93,1188,826,1.00,0.0079,0.004
"omega[1, 225]",0.15,0.086,0.037,0.31,1718,744,1.00,0.0021,0.0018
"omega[1, 226]",0.538,0.129,0.3,0.72,2190,616,1.00,0.003,0.0021
"omega[1, 227]",0.38,0.164,0.1,0.64,914,691,1.01,0.0055,0.0031
"omega[1, 228]",0.44,0.247,0.09,0.81,704,837,1.00,0.011,0.0045
"omega[1, 229]",0.539,0.136,0.3,0.72,1557,663,1.00,0.0035,0.0029
"omega[1, 230]",0.221,0.089,0.09,0.37,1754,667,1.00,0.002,0.0013
"omega[1, 231]",0.045,0.029,0.01,0.099,1307,641,1.00,0.0007,0.0007
"omega[1, 232]",0.171,0.073,0.07,0.3,1460,739,1.00,0.0019,0.0017
"omega[1, 233]",0.269,0.095,0.16,0.45,1098,674,1.00,0.0032,0.004
"omega[1, 234]",0.114,0.057,0.036,0.21,1455,553,1.00,0.0014,0.0015
"omega[1, 235]",0.067,0.042,0.015,0.14,1409,671,1.00,0.0011,0.00096
"omega[1, 236]",0.0376,0.0206,0.0098,0.073,1451,446,1.01,0.00048,0.00049
"omega[1, 237]",0.036,0.03,0.0069,0.088,1203,855,1.00,0.00084,0.0015
"omega[1, 238]",0.042,0.025,0.0086,0.088,1419,700,1.00,0.00061,0.00055
"omega[1, 239]",0.105,0.09,0.019,0.29,1278,659,1.00,0.0026,0.0034
"omega[1, 240]",0.094,0.078,0.02,0.23,1343,718,1.00,0.0023,0.0042
"omega[1, 241]",0.226,0.084,0.11,0.37,1782,807,1.00,0.0021,0.0019
"omega[1, 242]",0.064,0.041,0.016,0.14,1393,705,1.00,0.0012,0.0014
"omega[1, 243]",0.145,0.092,0.04,0.32,1213,753,1.00,0.0026,0.0031
"omega[2, 0]",0.272,0.1,0.14,0.45,1307,860,1.00,0.003,0.0026
"omega[2, 1]",0.568,0.098,0.41,0.72,2146,948,1.00,0.0022,0.0016
"omega[2, 2]",0.2,0.16,0.037,0.52,1149,713,1.00,0.0051,0.0051
"omega[2, 3]",0.31,0.23,0.04,0.73,1151,852,1.00,0.0069,0.0042
"omega[2, 4]",0.229,0.131,0.06,0.46,1117,796,1.00,0.0037,0.003
"omega[2, 5]",0.232,0.131,0.061,0.47,1566,810,1.00,0.0032,0.0022
"omega[2, 6]",0.057,0.036,0.013,0.12,1955,817,1.00,0.00083,0.0008
"omega[2, 7]",0.088,0.052,0.024,0.19,1479,735,1.00,0.0013,0.0013
"omega[2, 8]",0.764,0.145,0.51,0.95,1264,744,1.01,0.0044,0.0042
"omega[2, 9]",0.68,0.22,0.2,0.93,967,384,1.00,0.009,0.0077
"omega[2, 10]",0.117,0.071,0.034,0.25,1166,498,1.00,0.0021,0.0027
"omega[2, 11]",0.338,0.079,0.22,0.47,1740,875,1.00,0.0019,0.0014
"omega[2, 12]",0.886,0.098,0.69,0.98,1844,642,1.00,0.003,0.0045
"omega[2, 13]",0.599,0.122,0.39,0.78,2522,691,1.00,0.0025,0.0017
"omega[2, 14]",0.23,0.16,0.053,0.56,1530,607,1.00,0.0051,0.0051
"omega[2, 15]",0.073,0.05,0.019,0.16,1472,541,1.00,0.0015,0.0044
"omega[2, 16]",0.48,0.185,0.14,0.75,1128,451,1.00,0.0061,0.0039
"omega[2, 17]",0.422,0.116,0.26,0.63,1345,671,1.00,0.0034,0.0025
"omega[2, 18]",0.441,0.159,0.15,0.68,1122,611,1.00,0.0048,0.0034
"omega[2, 19]",0.685,0.108,0.51,0.85,2028,838,1.00,0.0023,0.0018
"omega[2, 20]",0.562,0.152,0.31,0.8,1549,604,1.00,0.0039,0.0027
"omega[2, 21]",0.104,0.069,0.026,0.23,1384,685,1.00,0.002,0.0025
"omega[2, 22]",0.48,0.23,0.14,0.86,1689,850,1.00,0.0056,0.0029
"omega[2, 23]",0.082,0.048,0.019,0.17,1643,818,1.00,0.0011,0.00097
"omega[2, 24]",0.218,0.118,0.066,0.42,1430,732,1.00,0.0031,0.0024
"omega[2, 25]",0.35,0.205,0.077,0.72,1256,724,1.00,0.0058,0.0034
"omega[2, 26]",0.465,0.119,0.28,0.66,2285,657,1.00,0.0025,0.0017
"omega[2, 27]",0.59,0.266,0.12,0.93,915,520,1.00,0.0087,0.0042
"omega[2, 28]",0.71,0.23,0.26,0.96,610,554,1.00,0.012,0.0071
"omega[2, 29]",0.544,0.159,0.29,0.8,2615,663,1.00,0.0031,0.0019
"omega[2, 30]",0.655,0.112,0.47,0.83,1762,607,1.01,0.0026,0.0018
"omega[2, 31]",0.147,0.105,0.035,0.35,1038,671,1.00,0.0036,0.0043
"omega[2, 32]",0.159,0.107,0.026,0.34,867,531,1.01,0.004,0.0035
"omega[2, 33]",0.3,0.191,0.049,0.64,1180,621,1.00,0.0054,0.0038
"omega[2, 34]",0.186,0.081,0.07,0.32,2102,755,1.00,0.0018,0.0016
"omega[2, 35]",0.104,0.064,0.023,0.23,1131,604,1.00,0.0018,0.0017
"omega[2, 36]",0.242,0.102,0.11,0.43,1647,834,1.00,0.0028,0.0029
"omega[2, 37]",0.36,0.183,0.091,0.68,766,393,1.00,0.0064,0.0042
"omega[2, 38]",0.417,0.168,0.14,0.68,1335,481,1.00,0.0046,0.0028
"omega[2, 39]",0.174,0.036,0.12,0.23,1984,641,1.01,0.00081,0.00058
"omega[2, 40]",0.089,0.09,0.017,0.23,969,692,1.00,0.0036,0.0068
"omega[2, 41]",0.33,0.221,0.05,0.73,1171,812,1.00,0.0066,0.0039
"omega[2, 42]",0.46,0.267,0.068,0.87,1228,699,1.01,0.0076,0.0034
"omega[2, 43]",0.551,0.203,0.22,0.87,1654,768,1.00,0.0049,0.0027
"omega[2, 44]",0.299,0.051,0.22,0.38,2374,771,1.00,0.0011,0.00076
"omega[2, 45]",0.61,0.25,0.11,0.92,1010,570,1.01,0.009,0.0057
"omega[2, 46]",0.278,0.197,0.056,0.66,1857,823,1.00,0.0047,0.0038
"omega[2, 47]",0.34,0.203,0.071,0.71,1233,735,1.00,0.0058,0.0036
"omega[2, 48]",0.28,0.173,0.038,0.59,977,679,1.00,0.0054,0.0034
"omega[2, 49]",0.48,0.21,0.13,0.81,1936,947,1.00,0.005,0.0028
"omega[2, 50]",0.535,0.192,0.24,0.85,1504,687,1.00,0.0049,0.0028
"omega[2, 51]",0.28,0.175,0.038,0.58,889,717,1.00,0.0057,0.0032
"omega[2, 52]",0.189,0.083,0.078,0.33,1548,855,1.00,0.0022,0.0021
"omega[2, 53]",0.462,0.151,0.23,0.71,1886,778,1.00,0.0035,0.0026
"omega[2, 54]",0.064,0.049,0.011,0.16,1033,664,1.00,0.0014,0.0016
"omega[2, 55]",0.272,0.077,0.15,0.4,1780,773,1.01,0.0018,0.0013
"omega[2, 56]",0.568,0.207,0.22,0.88,2588,908,1.00,0.0042,0.0023
"omega[2, 57]",0.129,0.078,0.04,0.27,1616,767,1.00,0.0021,0.0038
"omega[2, 58]",0.223,0.125,0.055,0.45,1469,1026,1.00,0.0033,0.0025
"omega[2, 59]",0.0349,0.0207,0.0084,0.073,1899,761,1.01,0.00045,0.00036
"omega[2, 60]",0.269,0.108,0.13,0.48,1338,894,1.00,0.003,0.0028
